trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9801986733067553}",30,15,-15.622933061575576,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.9, 'e': 0.9607894391523232}",20,0,-149.4949575665581,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9417645335842487}",25,0,-63.20462288096391,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9231163463866358}",30,0,-217.4742680645784,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.9, 'e': 0.9048374180359595}",20,0,-100.6123946960841,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.8869204367171575}",20,0,-81.26162603667281,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.8693582353988059}",25,0,-102.90020287053304,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.8521437889662113}",25,0,-98.88003432496095,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.835270211411272}",25,0,-9.17483634303876,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.8187307530779818}",25,6,-95.81121959328514,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.8025187979624785}",25,0,-196.13176792842233,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.9, 'e': 0.7866278610665535}",25,13,-30.764193214806305,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.7710515858035663}",20,10,-6.108243765804788,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.7557837414557255}",25,0,-8.947329372278624,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.7408182206817179}",30,0,-170.9507162227218,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.9, 'e': 0.7261490370736909}",20,0,-191.9620603763512,"{0: 6, 1: 6, 2: 5, 3: 0, 4: 3}",0
