trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9507539286723269}",30,0,-171.49958291541407,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.9296008300257927}",20,0,-114.05653531984832,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9089183616536712}",20,0,7.511239320428041,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.8886960526146174}",20,0,-98.63142774911734,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
5,False,"{'a': 0.9, 'e': 0.8689236649327765}",25,0,13.095030609280547,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.8495911884145902}",20,0,-61.46140380940317,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.8306888355809225}",30,18,12.41973678217397,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.812207036711939}",30,0,-20.765678185650476,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.7941364350022319}",20,2,-38.29553747772464,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.9, 'e': 0.7764678818237378}",20,0,-45.92305316389103,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.759192432094049}",25,0,-47.91104455745925,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.7423013397477743}",20,0,-100.71486139116037,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
13,False,"{'a': 0.9, 'e': 0.7257860533086574}",20,0,2.607284850037881,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.7096382115602086}",20,0,-36.90252999894874,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.6938496393126605}",25,9,13.59681414183649,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.678412343264104}",25,0,-7.7493025768317825,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.6633185079537081}",25,0,-3.1387805636450903,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.648560491804976}",35,15,17.579274769521845,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.6341308232570341}",25,16,18.63030160293422,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.620022196981994}",30,0,-117.53763700793628,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
21,False,"{'a': 0.9, 'e': 0.6062274701864752}",30,0,-77.71664444730892,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.9, 'e': 0.5927396589954125}",25,0,11.62437716967978,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.579551934916321}",20,0,1.9931941773692483,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.5666576213822248}",25,0,-64.78013260872052,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.5540501903715035}",20,4,6.233652452588824,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.5417232591029411}",20,14,-1.0546621712647504,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.5296705868043069}",30,0,8.901271058084891,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.9, 'e': 0.5178860715528316}",30,10,31.84877082043785,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.5063637471859779}",35,10,-76.46516328379519,"{0: 20, 1: 1, 2: 0, 3: 3, 4: 1}",1
30,False,"{'a': 0.9, 'e': 0.49509778028094364}",25,0,-23.71040017622281,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.4840824672013673}",25,0,5.838832545044911,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.47331223120973953}",25,11,27.572348784949867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.46278161964406134}",30,0,32.445347872459244,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.9, 'e': 0.452485301157317}",20,0,-40.90150722573859,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.4424180630183661}",20,13,5.128171709408257,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.43257480847288693}",20,4,-15.374522210593538,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.9, 'e': 0.42295055416303573}",20,0,26.241043134405782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.9, 'e': 0.4135404276045154}",25,0,-49.932274688790834,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.4043396647197763}",25,0,15.799335199566881,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.39534360742610014}",30,0,-21.19775851276018,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.3865477012773461}",20,0,9.545449859540636,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.37794749315816534}",20,1,11.68249737939579,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.36953862902951623}",20,0,23.59239277989385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.9, 'e': 0.36131685172433886}",35,20,25.458905914011808,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.3532779987922736}",20,11,14.82576944718548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.3454180003923315}",30,5,-15.796250862936777,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.9, 'e': 0.3377328772324505}",30,0,33.062282657747254,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.3302187385548937}",25,0,-90.08820373873496,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
49,False,"{'a': 0.9, 'e': 0.32287178016647017}",20,0,-20.70856510408939,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.31568828251258113}",30,16,19.14841385941705,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.3086646087941157}",30,16,-17.2894429607512,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.9, 'e': 0.3017972031262438}",20,1,7.879077175585443,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.29508258873817356}",20,10,13.051291737928057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.28851736621296165}",25,14,15.664974936843825,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.2820982117664862}",20,9,20.770732796312902,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.9, 'e': 0.27582187556470966}",20,0,33.242494796794645,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.2696851800783814}",25,0,25.04125046296145,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.9, 'e': 0.2636850184743451}",25,5,-9.482800477006005,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.9, 'e': 0.25781835304263867}",30,10,-10.949583447000357,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.9, 'e': 0.25208221365858835}",25,0,37.29362717488629,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.24647369627911975}",30,2,41.28765008604728,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.24098996147252397}",20,12,17.027682933162456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.9, 'e': 0.23562823298093477}",25,13,-24.93988118116767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.9, 'e': 0.23038579631478867}",20,3,19.285954818638842,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.9, 'e': 0.22525999737855665}",25,11,19.743779604322906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.9, 'e': 0.22024824112705146}",20,9,-23.46194071444017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.9, 'e': 0.21534799025163084}",35,11,-42.642492726921155,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
68,False,"{'a': 0.9, 'e': 0.2105567638956306}",20,12,16.314429689713194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.9, 'e': 0.20587213639837806}",25,17,12.907718294743052,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.9, 'e': 0.2012917360671494}",25,0,20.205390292278636,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.9, 'e': 0.1968132439764498}",20,0,27.974293540444492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.9, 'e': 0.19243439279400773}",20,6,-18.56467027240472,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.9, 'e': 0.18815296563288952}",25,0,-37.69446997099291,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
74,False,"{'a': 0.9, 'e': 0.183966794929153}",20,0,-99.73884181181464,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
75,False,"{'a': 0.9, 'e': 0.17987376134447208}",20,11,16.55897874325292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 0.1758717926931765}",30,17,19.698557782735865,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.17195886289316326}",20,0,-48.68566582638535,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
78,False,"{'a': 0.9, 'e': 0.16813299094014966}",20,0,18.61659042414436,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.9, 'e': 0.16439223990474733}",20,0,24.588222354798607,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.9, 'e': 0.16073471595185043}",20,13,-27.22987563733018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.9, 'e': 0.15715856738184122}",30,7,-24.047932642238635,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.9, 'e': 0.15366198369312753}",20,12,15.797435568011963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.15024319466553773}",25,0,34.77807944609705,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.14690046946410876}",20,2,16.865766269295683,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.14363211576281426}",20,3,27.593127227804867,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.14043647888778812}",20,14,8.596000689385235,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.13731194097961066}",25,17,15.409693431948682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.1342569201742327}",20,14,10.867198677961657,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.131269869802123}",25,8,-13.784254309302133,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.9, 'e': 0.12834927760523393}",20,2,26.190797153672623,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.12549366497138847}",25,16,15.508786011458266,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.12270158618570108}",20,8,20.853289240907706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.11997162769865403}",20,6,12.583086508989691,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.11730240741045728}",20,9,-0.1074994946843244,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.1146925739713314}",20,0,-13.459535563331562,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
