trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 1.0}",20,0,-91.89258741142446,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.0, 'e': 1.0}",20,0,-8.05887452727468,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.0, 'e': 1.0}",20,0,-46.906133378126206,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.0, 'e': 1.0}",20,0,-126.91074552273392,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.0, 'e': 1.0}",25,0,-110.43803373121426,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.0, 'e': 1.0}",30,0,-184.5836243993791,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.0, 'e': 1.0}",30,0,-271.2656691451625,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
8,False,"{'a': 0.0, 'e': 1.0}",25,16,1.2948432962609702,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.0, 'e': 1.0}",30,0,-41.57432097425731,"{0: 20, 1: 7, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.0, 'e': 1.0}",25,0,-83.41642581433146,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.0, 'e': 1.0}",20,0,-33.1225248029269,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.0, 'e': 1.0}",20,0,-40.17482833068057,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.0, 'e': 1.0}",30,0,-104.2079649396099,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.0, 'e': 1.0}",35,0,-248.96939862766337,"{0: 16, 1: 4, 2: 11, 3: 1, 4: 3}",0
15,False,"{'a': 0.0, 'e': 1.0}",25,0,-164.6671850518633,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.0, 'e': 1.0}",25,0,-107.21039470564229,"{0: 12, 1: 1, 2: 12, 3: 0, 4: 0}",0
17,False,"{'a': 0.0, 'e': 1.0}",25,0,-126.73582345468951,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.0, 'e': 1.0}",20,8,-91.49476017117841,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.0, 'e': 1.0}",20,0,-46.12422511371065,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.0, 'e': 1.0}",20,0,-14.840772956839826,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 1.0}",20,0,-109.64510607019159,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
